Title,Standard Title,Creator,Publisher,LCCN,Description,Date,Date-Numeric,Location,Frequency,Volume Number,Issue Number,Subject-Topic,Subject-Name,Subject-Images,Subject-Local,Type,Format,Language,Dimensions,Digital Collection,Digital Exhibit,Related Resource,Contributing Institution,Collection in Repository,Item/Call Number,Internet Archive ID,Usage Statement,Contact Information,Digitization Notes,Date Range,Edition Order,Edition Label,Page Sequence Number,Page Physical Description,Path,Record Notes,Frame ID,Issue ID,Reproduction Agency,Reproduction Agency Code,Reproduction Note,Physical Location,Physical Location Code,Batch Name,Reel Number,Loose/Bound,Reel Sequence Number,Digital Filename,TIFF Width,TIFF Height
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,7,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_07,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0011,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,8,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_08,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0012,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,9,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_09,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0013,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,10,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_10,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0014,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,11,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_11,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0015,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,12,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_12,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0016,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,13,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_13,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0017,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,14,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_14,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0018,,
"The Wayne Communiqué [Goldsboro, N.C., February 05, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"February 05, 1969",1969-02-05,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,2,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,15,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-02-05_1_15,WayneCC_1969-02-05_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0019,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,1,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_01,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0020,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,2,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_02,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0021,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,3,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_03,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0022,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,4,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_04,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0023,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,5,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_05,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0024,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,6,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_06,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0025,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,7,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_07,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0026,,
"The Wayne Communiqué [Goldsboro, N.C., March 06, 1969]","Wayne Community College Student Newspaper (Goldsboro, N.C.)",,,,,"March 06, 1969",1969-03-06,Goldsboro (N.C.);Wayne County (N.C.),Monthly (irregular),1,3,College student newspapers and periodicals--North Carolina--Goldsboro.,,,,Text,Newspapers ,English,,North Carolina Newspapers ,Wayne Community College Student Newspaper,,Wayne Community College,,,,Copyright Wayne Community College. This item is presented courtesy of Wayne Community College for research and educational purposes. Images and text may not be used for any commercial purposes without prior written permission from Wayne Community College.,"Wayne Community College Historical Archives, Erwin Library - Wayne Community College | wcc-library@waynecc.edu",,,1,,8,Print,\\Ad.unc.edu\lib\storhouse\digital_production\ncdhc\Newspapers\Wayne_Community_College_Student_Newspaper,,WayneCC_1969-03-06_1_08,WayneCC_1969-03-06_1,"North Carolina Digital Heritage Center; Chapel Hill, NC",ncu,Present,"Wayne Community College; Goldsboro, NC",ncc,WayneCC,,Loose,,WCC_0027,,
